key,kn,type
Hamidul Rahman,ಹಮೀದುಲ್ ರೆಹಮಾನ್,string
Hansan,ಹಂಸನ್,string
Haora,ಹೌರಾ,string
Harakali Protiher,ಹರಕಲಿ ಪ್ರೋತಿಹೆರ್,string
Harbour,ಬಂದರು,string
Hareram Singh,ಹರೇರಾಮ್ ಸಿಂಗ್,string
Hariharpara,ಹರಿಹರಪರ,string
Haringhata (SC),ಹರಿಂಗಟಾ (ಎಸ್‌ಸಿ),string
Haripad,ಹರಿಪಾದ್,string
Haripal,ಹರಿಪಾಲ್,string
Harirampur,ಹರಿರಾಂಪುರ,string
Harishchandrapur,ಹರಿಶ್ಚಂದ್ರಾಪುರ,string
Haroa,ಹರೋವಾ,string
Harur (SC),ಹರೂರ್ (ಎಸ್‌ಸಿ),string
Hasanuzzaman Sk,ಹಸನುಜ್ಜಮಾನ್ Sk,string
Hemanga Thakuria,ಹೇಮಂಗ ಠಾಕುರಿಯಾ,string
Hemtabad (SC),ಹೆಮ್ತಾಬಾದ್ (ಎಸ್‌ಸಿ),string
Hibi Eden,ಹೈಬಿ ಈಡನ್,string
Himanta Biswa Sarma,ಹಿಮಂತ ಬಿಸ್ವಾ ಶರ್ಮಾ,string
Hingalganj (SC),ಹಿಂಗಲಗಂಜ್ (ಎಸ್‌ಸಿ),string
Hiran Chatterjee,ಹಿರಣ್ ಚಟರ್ಜಿ,string
Hiten Barman,ಹಿಟೆನ್ ಬರ್ಮನ್,string
Hitendra Nath Goswami,ಹಿತೇಂದ್ರ ನಾಥ್ ಗೋಸ್ವಾಮಿ,string
Hojai,ಹೋಜೈ,string
Hosur,ಹೊಸೂರು,string
Howraghat (ST),ಹೌಘಾಟ್ (ಎಸ್‌ಟಿ),string
Howrah Dakshin,ಹೌರಾ ದಕ್ಷಿಣ,string
Howrah Madhya,ಹೌರಾ ಮಧ್ಯ,string
Howrah Uttar,ಹೌರಾ ಉತ್ತರ,string
Hugli,ಹುಗ್ಲಿ,string
Humayun Kabir,ಹುಮಾಯೂನ್ ಕಬೀರ್,string
Humayun Reza,ಹುಮಾಯೂನ್ ರೆಜಾ,string
I. B. Satheesh,I. B. ಸತೀಶ್,string
I. B. Sathish,ಐ ಬಿ ಸತೀಶ್,string
I. C. Balakrishnan,I. C. ಬಾಲಕೃಷ್ಣನ್,string
I. Karunanithi,I. ಕರುಣಾನಿತಿ,string
I. P. Senthil Kumar,I. P. ಸೆಂಥಿಲ್ ಕುಮಾರ್,string
I. Paranthamen,I. ಪರಂತಮೆನ್,string
I. Periyasamy,I. ಪೆರಿಯಸಾಮಿ,string
I. S. Inbadurai,I. S. ಇನ್ಬದುರೈ,string
INC,INC,string
IND,IND,string
INL,INL,string
ISF,ISF,string
IUML,IUML,string
Idream R. Murthy,ಐಡ್ರೀಮ್ ಆರ್.ಮೂರ್ತಿ,string
Idris Ali,ಇದ್ರಿಸ್ ಅಲಿ,string
Idukki,ಇಡುಕ್ಕಿ,string
Ilias Ali,ಇಲಿಯಾಸ್ ಅಲಿ,string
Inbasekaran. P.N.P.,ಇನ್ಬಶೇಖರನ್. ಪಿ.ಎನ್.ಪಿ.,string
Indas,ಇಂದಾಸ್,string
Indira Nagar,ಇಂದಿರಾ ನಗರ,string
Indranil Sen,ಇಂದ್ರನೀಲ್ ಸೇನ್,string
Inigo S. Irudayaraj,ಇನಿಗೋ ಎಸ್.ಇರುದಯರಾಜ್,string
Iqbal Ahmed,ಇಕ್ಬಾಲ್ ಅಹಮದ್,string
Irikkur,ಇರಕ್ಕೂರು,string
Irinjalakuda,ಇರಿಂಜಲಕುಡ,string
Isha Khan Choudhury,ಇಶಾ ಖಾನ್ ಚೌಧರಿ,string
Islampur,ಇಸ್ಲಾಂಪುರ,string
Itahar,ಇತಾಹಾರ್,string
J. Anbazhagan,ಜೆ. ಅನ್ಬಳಗನ್,string
J. Chinchu Rani,ಜೆ. ಚಿಂಚು ರಾಣಿ,string
J. G. Prince,ಜೆ ಜಿ ಪ್ರಿನ್ಸ್,string
J. Jayalalithaa,ಜೆ. ಜಯಲಲಿತಾ,string
J. John Ebenezer,ಜೆ. ಜಾನ್ ಎಬೆನೆಜರ್,string
J. Karunanithi,ಜೆ.ಕರುಣಾನಿತಿ,string
J. L. Eswarappan,ಜೆ ಎಲ್ ಈಶ್ವರಪ್ಪನ್,string
J. Mercy Kutty Amma,ಜೆ. ಮರ್ಸಿ ಕುಟ್ಟಿ ಅಮ್ಮ,string
J. Prakash Kumar,ಜೆ.ಪ್ರಕಾಶ್ ಕುಮಾರ್,string
JAGIROAD (SC),ಜಾಗಿರೋಡ್ (ಎಸ್‌ಸಿ),string
JALESHWAR,ಜಲೇಶ್ವರ,string
JALUKBARI,ಜಲುಕ್ಬರಿ,string
JD(S),ಜೆಡಿ(ಎಸ್),string
JKC,ಜೆಕೆಸಿ,string
JONAI (ST),ಜೋನೈ (ಎಸ್‌ಟಿ),string
JORHAT,ಜೋರ್ಹತ್,string
Jadab Sawargiary,ಜದಾಬ್ ಸಾವರ್ಗಿಯಾರಿ,string
Jadavpur,ಜಾದವಪುರ,string
Jafikul Islam,ಜಾಫಿಕುಲ್ ಇಸ್ಲಾಂ,string
Jagadish Barma Basunia,ಜಗದೀಶ್ ಬರ್ಮಾ ಬಸುನಿಯಾ,string
Jagannath Sarkar,ಜಗನ್ನಾಥ್ ಸರ್ಕಾರ್,string
Jagatballavpur,ಜಗತ್ಬಲ್ಲವಪುರ,string
Jagatdal,ಜಗತ್ತಲ್,string
Jagiroad (SC),ಜಾಗಿರೋಡ್ (ಎಸ್‌ಸಿ),string
Jahanara Khan,ಜಹನಾರಾ ಖಾನ್,string
Jakir Hossain,ಜಾಕಿರ್ ಹೊಸೈನ್,string
Jakir Hussain Sikdar,ಜಾಕಿರ್ ಹುಸೇನ್ ಸಿಕ್ದರ್,string
Jalangi,ಜಾಲಂಗಿ,string
Jaleswar,ಜಲೇಶ್ವರ,string
Jalpaiguri,ಜಲ್ಪೈಗುರಿ,string
Jalpaiguri (SC),ಜಲ್ಪೈಗುರಿ (ಎಸ್‌ಸಿ),string
Jalukbari,ಜಲುಕ್ಬರಿ,string
Jamalpur (SC),ಜಮಾಲ್ಪುರ್ (ಎಸ್‌ಸಿ),string
James Kujur,ಜೇಮ್ಸ್ ಕುಜೂರ್,string
James Mathew,ಜೇಮ್ಸ್ ಮ್ಯಾಥ್ಯೂ,string
Jamunamukh,ಜಮುನಾಮುಖ,string
Jamuria,ಜಮುರಿಯಾ,string
Jangipara,ಜಂಗಿಪಾರ,string
Jangipur,ಜಂಗೀಪುರ,string
Jania,ಜಾನಿಯಾ,string
Jatu Lahiri,ಜತು ಲಾಹಿರಿ,string
Javed Ahmed Khan,ಜಾವೇದ್ ಅಹಮದ್ ಖಾನ್,string
Jayankondam,ಜಯಂಕೊಂಡಂ,string
Jayanta Malla Baruah,ಜಯಂತ ಮಲ್ಲ ಬರುವಾ,string
Jayanta Naskar,ಜಯಂತ ನಾಸ್ಕರ್,string
Jayanthi Padmanabhan .C,ಜಯಂತಿ ಪದ್ಮನಾಭನ್ .ಸಿ,string
Jayaramakrishnan R,ಜಯರಾಮಕೃಷ್ಣ ಆರ್,string
Jaynagar (SC),ಜಯನಗರ (ಎಸ್‌ಸಿ),string
Jhargram,ಜಾರ್ಗ್ರಾಮ್,string
Jiban Krishna Saha,ಜಿಬನ್ ಕೃಷ್ಣ ಸಹಾ,string
Jiban Mukhopadhyay,ಜಿಬನ್ ಮುಖೋಪಾಧ್ಯಾಯ,string
Jitendra Tiwari,ಜಿತೇಂದ್ರ ತಿವಾರಿ,string
Jitu Goswami,ಜಿತು ಗೋಸ್ವಾಮಿ,string
Job Michael,ಜಾಬ್ ಮೈಕೆಲ್,string
Jogaranjan Halder,ಜೋಗರಂಜನ್ ಹಾಲ್ದರ್,string
Jogen Mohan,ಜೋಗೆನ್ ಮೋಹನ್,string
Jolarpet,ಜೋಲಾರಪೇಟೆ,string
Jonai (ST),ಜೋನೈ (ಎಸ್‌ಟಿ),string
Jorasanko,ಜೋರಾಸಾಂಕೊ,string
Jorhat,ಜೋರ್ಹತ್,string
Joseph Samuel,ಜೋಸೆಫ್ ಸ್ಯಾಮ್ಯುಯೆಲ್,string
Joyanta Basumatary,ಜೋಯಂತ ಬಾಸುಮತರಿ,string
Joydeb Halder,ಜೋಯ್ಡೆಬ್ ಹಾಲ್ಡರ್,string
Joyel Murmu,ಜೋಯಲ್ ಮುರ್ಮು,string
Joypur,ಜಾಯ್ಪುರ್,string
June Malia,ಜೂನ್ ಮಾಲಿಯಾ,string
Jyotipriya Mallick,ಜ್ಯೋತಿಪ್ರಿಯಾ ಮಲ್ಲಿಕ್,string
Jyotirmoy Kar,ಜ್ಯೋತಿರ್ಮಯ್ ಕರ್,string
Jyotsna Mandi,ಜ್ಯೋತ್ಸ್ನಾ ಮಂದಿ,string
K. A. M. Muhammed Abubacker,ಕೆ ಎ ಎಂ ಮುಹಮ್ಮದ್ ಅಬೂಬಕರ್,string
K. A. Pandian,ಕೆ.ಎ.ಪಾಂಡಿಯನ್,string
K. A. Sengottaiyan,ಕೆ.ಎ.ಸೆಂಗೊಟ್ಟಯ್ಯನ್,string
K. A. U. Asana,ಕೆ.ಎ.ಯು.ಆಸನ,string
K. Annadurai,ಕೆ. ಅಣ್ಣಾದೊರೈ,string
K. Ansalan,ಕೆ. ಅನ್ಸಲನ್,string
K. Ashok Kumar,ಕೆ.ಅಶೋಕ್ ಕುಮಾರ್,string
K. B. Ganesh Kumar,ಕೆ ಬಿ ಗಣೇಶ್ ಕುಮಾರ್,string
K. Babu,ಕೆ. ಬಾಬು,string
K. C. Joseph,ಕೆ ಸಿ ಜೋಸೆಫ್,string
K. C. Karuppannan,ಕೆ ಸಿ ಕರುಪ್ಪಣ್ಣನ್,string
K. Chinnappa,ಕೆ.ಚಿನ್ನಪ್ಪ,string
K. D. Prasenan,ಕೆ.ಡಿ.ಪ್ರಸೇನನ್,string
K. Dasan,ಕೆ. ದಾಸನ್,string
K. Devaraji,ಕೆ.ದೇವರಾಜಿ,string
K. Ganapathy,ಕೆ.ಗಣಪತಿ,string
K. J. Maxi,ಕೆ.ಜೆ.ಮ್ಯಾಕ್ಸಿ,string
K. K. Abid Hussain Thangal,ಕೆ.ಕೆ.ಆಬಿದ್ ಹುಸೇನ್ ತಂಗಳ್,string
K. K. Ramachandran,ಕೆ.ಕೆ.ರಾಮಚಂದ್ರನ್,string
K. K. Ramachandran Nair,ಕೆ.ಕೆ.ರಾಮಚಂದ್ರನ್ ನಾಯರ್,string
K. K. Rema,ಕೆ ಕೆ ರೆಮಾ,string
K. K. Selvam,ಕೆ ಕೆ ಸೆಲ್ವಂ,string
K. K. Shailaja,ಕೆ.ಕೆ.ಶೈಲಜಾ,string
K. Karthikeyan,ಕೆ. ಕಾರ್ತಿಕೇಯನ್,string
K. Kathirkamu,ಕೆ. ಕಾತಿರ್ಕಾಮು,string
K. Krishnankutty,ಕೆ.ಕೃಷ್ಣನ್ಕುಟ್ಟಿ,string
K. Kunhiraman,ಕೆ.ಕುಂಞಿರಾಮನ್,string
K. Lakshminarayanan,ಕೆ.ಲಕ್ಷ್ಮಿನಾರಾಯಣ,string
K. M. Mani,ಕೆ ಎಂ ಮಣಿ,string
K. M. Sachin Dev,ಕೆ ಎಂ ಸಚಿನ್ ದೇವ್,string
K. M. Shaji,ಕೆ.ಎಂ.ಶಾಜಿ,string
K. Manickam,ಕೆ. ಮಾಣಿಕ್ಕಂ,string
K. Marimuthu,ಕೆ.ಮರಿಮುತ್ತು,string
K. Muraleedharan,ಕೆ.ಮುರಳೀಧರನ್,string
K. Muthuramalingam,ಕೆ.ಮುತ್ತುರಾಮಲಿಂಗಂ,string
K. N. Balagopal,ಕೆ.ಎನ್.ಬಾಲಗೋಪಾಲ್,string
K. N. Nehru,ಕೆ ಎನ್ ನೆಹರು,string
K. N. Unnikrishnan,ಕೆ.ಎನ್.ಉನ್ನಿಕೃಷ್ಣನ್,string
K. N. Vijayakumar,ಕೆ.ಎನ್.ವಿಜಯಕುಮಾರ್,string
K. P. A. Majeed,ಕೆ.ಪಿ.ಎ.ಮಜೀದ್,string
K. P. Anbalagan,ಕೆ.ಪಿ.ಅನ್ಬಳಗನ್,string
K. P. Kunhammadkutty,ಕೆ.ಪಿ.ಕುಂಞಮ್ಮದ್ಕುಟ್ಟಿ,string
K. P. Mohanan,ಕೆ.ಪಿ.ಮೋಹನನ್,string
K. P. Munusamy,ಕೆ.ಪಿ.ಮುನುಸಾಮಿ,string
K. P. P. Baskar,ಕೆ ಪಿ ಪಿ ಬಾಸ್ಕರ್,string
K. P. P. Samy,ಕೆ.ಪಿ.ಪಿ.ಸಾಮಿ,string
K. P. Shankar,ಕೆ ಪಿ ಶಂಕರ್,string
K. Pandiarajan,ಕೆ.ಪಾಂಡಿಯರಾಜನ್,string
K. Pitchandi,ಕೆ. ಪಿಚ್ಚಂಡಿ,string
K. Ponmudy,ಕೆ.ಪೊನ್ಮುಡಿ,string
K. Ponnusamy,ಕೆ.ಪೊನ್ನುಸಾಮಿ,string
K. Poondi Kalaivanan,ಕೆ.ಪೂಂಡಿ ಕಲೈವನನ್,string
K. Premkumar,ಕೆ.ಪ್ರೇಮಕುಮಾರ್,string
K. R. Jayaram,ಕೆ ಆರ್ ಜಯರಾಮ್,string
K. R. Periyakaruppan,ಕೆ.ಆರ್. ಪೆರಿಯಕರುಪ್ಪನ್,string
K. Radhakrishnan,ಕೆ. ರಾಧಾಕೃಷ್ಣನ್,string
K. Rajan,ಕೆ.ರಾಜನ್,string
K. Raju,ಕೆ.ರಾಜು,string
K. Ramachandran,ಕೆ. ರಾಮಚಂದ್ರನ್,string
K. S. Masthan,ಕೆ ಎಸ್ ಮಸ್ತಾನ್,string
K. S. Ravichandran,ಕೆ ಎಸ್ ರವಿಚಂದ್ರನ್,string
K. S. Sabarinathan,ಕೆ ಎಸ್ ಶಬರಿನಾಥನ್,string
K. S. Saravana Kumar,ಕೆ ಎಸ್ ಸರವಣ ಕುಮಾರ್,string
K. S. Vijayakumar,ಕೆ ಎಸ್ ವಿಜಯಕುಮಾರ್,string
K. Selvaperunthagai,ಕೆ.ಸೆಲ್ವಪೆರುಂತಗಿ,string
K. Selvaraj,ಕೆ.ಸೆಲ್ವರಾಜ್,string
K. Sethu Sethuselvam,ಕೆ. ಸೇತು ಸೇತುಸೆಲ್ವಂ,string
K. Shanthakumari,ಕೆ.ಶಾಂತಕುಮಾರಿ,string
K. Sivagama Sundari,ಕೆ.ಶಿವಾಗಮ ಸುಂದರಿ,string
K. Sundar,ಕೆ.ಸುಂದರ್,string
K. Suresh Kurup,ಕೆ.ಸುರೇಶ್ ಕುರುಪ್,string
K. T. Jaleel,ಕೆ ಟಿ ಜಲೀಲ್,string
K. T. Rajenthrabhalaji,ಕೆ.ಟಿ.ರಾಜೇಂದ್ರಭಾಲಾಜಿ,string
K. U. Arunan,ಕೆ.ಯು.ಅರುಣನ್,string
K. U. Jenish Kumar,ಕೆ ಯು ಜೆನೀಶ್ ಕುಮಾರ್,string
K. V. Abdul Khader,ಕೆ ವಿ ಅಬ್ದುಲ್ ಖಾದರ್,string
K. V. Sumesh,ಕೆ ವಿ ಸುಮೇಶ್,string
K. V. Vijayadas,ಕೆ.ವಿ.ವಿಜಯದಾಸ್,string
KALIABOR,ಕಲಿಯಬೋರ್,string
KAMALPUR,ಕಮಲಾಪುರ,string
KARIMGANJ NORTH,ಕರೀಮ್ಗಂಜ್ ಉತ್ತರ,string
KARIMGANJ SOUTH,ಕರೀಮ್ಗಂಜ್ ದಕ್ಷಿಣ,string
KATIGORAH,ಕಟಿಗೋರಾ,string
KC(B),ಕೆಸಿ(ಬಿ),string
KC(J),ಕೆಸಿ(ಜೆ),string
KC(M),ಕೆಸಿ(ಎಂ),string
KHOWANG,ಖೋವಾಂಗ್,string
KHUMTAI,ಖುಮ್ತಾಯಿ,string
KMDK,KMDK,string
KOKRAJHAR (ST),ಕೊಕ್ರಜಾರ್ (ಎಸ್‌ಟಿ),string
Ka. So. Ka. Kannan,ಕಾ. ಆದ್ದರಿಂದ. ಕಾ. ಕಣ್ಣನ್,string
Kadakampally Surendran,ಕಡಕಂಪಲ್ಲಿ ಸುರೇಂದ್ರನ್,string
Kadambur C. Raju,ಕಡಂಬೂರು ಸಿ.ರಾಜು,string
Kadambur Raju,ಕಡಂಬೂರ್ ರಾಜು,string
Kadannappalli Ramachandran,ಕಡನ್ನಪ್ಪಲ್ಲಿ ರಾಮಚಂದ್ರನ್,string
Kadayanallur,ಕಡಯನಲ್ಲೂರು,string
Kadirkamam,ಕದಿರ್ಕಾಮಮ್,string
Kaduthuruthy,ಕಡುತುರುತಿ,string
Kaipamangalam,ಕೈಪಮಂಗಲಂ,string
Kajal Sinha,ಕಾಜಲ್ ಸಿನ್ಹಾ,string
Kakdwip,ಕಾಕದ್ವೀಪ್,string
Kalaigaon,ಕಲೈಗಾಂವ್,string
Kalaignar M Karunanidhi,ಕಲೈಂಜರ್ ಎಂ ಕರುಣಾನಿಧಿ,string
Kalaiselvan V T,ಕಲೈಸೆಲ್ವನ್ ವಿ ಟಿ,string
Kalamassery,ಕಲಮಸ್ಸೆರಿ,string
Kalapet,ಕಲಾಪೇಟ್,string
Kalasapakkam,ಕಳಸಪಕ್ಕಂ,string
Kalchini (ST),ಕಲ್ಚಿನಿ (ಎಸ್‌ಟಿ),string
Kaliabor,ಕಲಿಯಬೋರ್,string
Kaliaganj (SC),ಕಲಿಯಾಗಂಜ್ (ಎಸ್‌ಸಿ),string
Kaliganj,ಕಲಿಗಂಜ್,string
Kalimpong,ಕಾಲಿಂಪಾಂಗ್,string
Kalimuthu. V.S,ಕಾಳಿಮುತ್ತು. ವಿ.ಎಸ್,string
Kalipada Mandal,ಕಲಿಪದ ಮಂಡಲ,string
Kallakurichi (SC),ಕಲ್ಲಕುರಿಚಿ (ಎಸ್‌ಸಿ),string
Kalliasseri,ಕಳ್ಳಿಯಸ್ಸೆರಿ,string
Kallol Khan,ಕಲ್ಲೋಲ್ ಖಾನ್,string
Kalna (SC),ಕಲ್ನಾ (ಎಸ್‌ಸಿ),string
Kalpetta,ಕಲ್ಪೆಟ್ಟಾ,string
Kalyan Ghosh,ಕಲ್ಯಾಣ ಘೋಷ್,string
Kalyani (SC),ಕಲ್ಯಾಣಿ (ಎಸ್‌ಸಿ),string
Kamal Singh Narzary,ಕಮಲ್ ಸಿಂಗ್ ನರ್ಜಾರಿ,string
Kamalakanta Hansda,ಕಮಲಾಕಾಂತ ಹಂಸದಾ,string
Kamalakhya Dey Purkayastha,ಕಮಲಾಖ್ಯಾ ದೇ ಪುರಕಾಯಸ್ತ,string
Kamalesh Chatterjee,ಕಮಲೇಶ್ ಚಟರ್ಜಿ,string
Kamalpur,ಕಮಲಾಪುರ,string
Kamaraj Nagar,ಕಾಮರಾಜ್ ನಗರ,string
Kamaraj. R,ಕಾಮರಾಜ್. ಆರ್,string
Kamarhati,ಕಮರ್ಹತಿ,string
Kamrup,ಕಾಮರೂಪ,string
Kamrup Metropolitan,ಕಾಮರೂಪ್ ಮೆಟ್ರೋಪಾಲಿಟನ್,string
Kanagaraj. R.,ಕನಕರಾಜ್. ಆರ್.,string
Kanai Chandra Mondal,ಕನೈ ಚಂದ್ರ ಮೊಂಡಲ್,string
Kanaia Lal Agarwal,ಕನೈಯಾ ಲಾಲ್ ಅಗರ್ವಾಲ್,string
Kanathil Jameela,ಕಾನತಿಲ್ ಜಮೀಲಾ,string
Kanchan Mullick,ಕಾಂಚನ್ ಮಲ್ಲಿಕ್,string
Kancheepuram,ಕಾಂಚೀಪುರಂ,string
Kandi,ಕಂಡಿ,string
Kangayam,ಕಂಗಾಯಂ,string
Kanhangad,ಕಾಞಂಗಾಡ್,string
Kanjirappally,ಕಂಜಿರಪಲ್ಲಿ,string
Kanniyakumari,ಕನ್ನಿಯಾಕುಮಾರಿ,string
Kannur,ಕಣ್ಣೂರು,string
Kanthi Dakshin,ಕಂಠಿ ದಕ್ಷಿಣ,string
Kanthi Uttar,ಕಂಠಿ ಉತ್ತರ,string
Karabi Manna,ಕರಾಬಿ ಮನ್ನಾ,string
Karaikal,ಕಾರೈಕಲ್,string
Karaikal North,ಕಾರೈಕಲ್ ಉತ್ತರ,string
Karaikal South,ಕಾರೈಕಲ್ ದಕ್ಷಿಣ,string
Karaikudi,ಕಾರೈಕುಡಿ,string
Karandighi,ಕರಂದಿಘಿ,string
Karat Razack,ಕಾರಟ್ ರಜಾಕ್,string
Karbi Anglong,ಕರ್ಬಿ ಆಂಗ್ಲಾಂಗ್,string
Karim Uddin Barbhuiya,ಕರೀಂ ಉದ್ದೀನ್ ಬರ್ಭುಯ್ಯಾ,string
Karimganj North,ಕರೀಂಗಂಜ್ ಉತ್ತರ,string
Karimganj South,ಕರೀಂಗಂಜ್ ದಕ್ಷಿಣ,string
Karimpur,ಕರೀಂಪುರ,string
Karthik. N.,ಕಾರ್ತಿಕ್. ಎನ್.,string
Karthikeyan,ಕಾರ್ತಿಕೇಯನ್,string
Karthikeyan.K,ಕಾರ್ತಿಕೇಯನ್.ಕೆ,string
Karunaas,ಕರುಣಾಸ್,string
Karunagapally,ಕರುನಾಗಪಲ್ಲಿ,string
Karunanithi. I,ಕರುಣಾನಿತಿ. I,string
Karuppanan K C,ಕರುಪ್ಪನನ್ ಕೆ ಸಿ,string
Karur,ಕರೂರ್,string
Kasaragod,ಕಾಸರಗೋಡು,string
Kasba,ಕಸ್ಬಾ,string
Kashipur,ಕಾಶಿಪುರ,string
Kashipur-Belgachhia,ಕಾಶಿಪುರ-ಬೆಲ್ಗಾಚಿಯಾ,string
Kasthuri Vasu. V.,ಕಸ್ತೂರಿ ವಾಸು. ವಿ.,string
Kasturi Das,ಕಸ್ತೂರಿ ದಾಸ್,string
Katigorah,ಕಟಿಗೋರಾಹ್,string
Katlicherra,ಕಟ್ಲಿಚೆರ್ರಾ,string
Katpadi,ಕಟಪಾಡಿ,string
Kattakkada,ಕಟ್ಟಕ್ಕಡ,string
Kattumannarkoil (SC),ಕಟ್ಟುಮನ್ನಾರ್ಕೋಯಿಲ್ (ಎಸ್‌ಸಿ),string
Katulpur (SC),ಕತುಲ್ಪುರ್ (ಎಸ್‌ಸಿ),string
Katwa,ಕತ್ವಾ,string
Kaushik Rai,ಕೌಶಿಕ್ ರೈ,string
Kaushik Roy,ಕೌಶಿಕ್ ರಾಯ್,string
Kavundampalayam,ಕವುಂಡಂಪಾಳ್ಯಂ,string
Kayamkulam,ಕಾಯಂಕುಲಂ,string
Kazhakkoottam,ಕಝಕ್ಕೂಟಂ,string
Kerala Congress (B),ಕೇರಳ ಕಾಂಗ್ರೆಸ್ (ಬಿ),string
Kerala Congress (Jacob),ಕೇರಳ ಕಾಂಗ್ರೆಸ್ (ಜೇಕಬ್),string
Kerala Congress (Mani),ಕೇರಳ ಕಾಂಗ್ರೆಸ್ (ಮಣಿ),string
Keshab Mahanta,ಕೇಶಬ್ ಮಹಾಂತ,string
Keshiary (ST),ಕೇಶಿಯಾರಿ (ಎಸ್‌ಟಿ),string
Keshpur (SC),ಕೇಶ್ಪುರ್ (ಎಸ್‌ಸಿ),string
Ketugram,ಕೇತುಗ್ರಾಮ,string
Khagen Murmu,ಖಗೆನ್ ಮುರ್ಮು,string
Khagendra Nath Mahata,ಖಗೇಂದ್ರ ನಾಥ್ ಮಹಾತಾ,string
Khagendranath Hembram,ಖಗೇಂದ್ರನಾಥ ಹೆಂಬರಂ,string
Khageswar Roy,ಖಗೇಶ್ವರ ರಾಯ್,string
Khalil Uddin Mazumder,ಖಲೀಲ್ ಉದ್ದೀನ್ ಮಜುಂದಾರ್,string
Khanakul,ಖಾನಕುಲ್,string
Khandaghosh (SC),ಖಂಡಘೋಷ್ (ಎಸ್‌ಸಿ),string
Kharagpur,ಖರಗ್ಪುರ,string
Kharagpur Sadar,ಖರಗ್ಪುರ್ ಸದರ್,string
Khardaha,ಖರ್ದಾಹ,string
Khargram (SC),ಖಾರ್ಗ್ರಾಮ್ (ಎಸ್‌ಸಿ),string
Khejuri (SC),ಖೆಜುರಿ (ಎಸ್‌ಸಿ),string
Khokan Das,ಖೋಕನ್ ದಾಸ್,string
Khumtai,ಖುಮ್ತೈ,string
Killiyoor,ಕಿಲ್ಲಿಯೂರು,string
Kilpennathur,ಕಿಲ್ಪೆನ್ನತ್ತೂರ್,string
Kilvaithinankuppam(sc,ಕಿಲ್ವೈತಿನಂಕುಪ್ಪಂ(sc,string
Kilvelur (SC),ಕಿಲ್ವೇಲೂರ್ (ಎಸ್‌ಸಿ),string
Kinathukadavu,ಕಿನಾತುಕಡವು,string
Kishor Nath,ಕಿಶೋರ ನಾಥ್,string
Koch Bihar,ಕೋಚ್ ಬಿಹಾರ,string
Kochi,ಕೊಚ್ಚಿ,string
Kodungallur,ಕೊಡುಂಗಲ್ಲೂರು,string
Koduvally,ಕೊಡುವಳ್ಳಿ,string
Kokrajhar,ಕೊಕ್ರಜಾರ್,string
Kokrajhar East (ST),ಕೊಕ್ರಜಾರ್ ಪೂರ್ವ (ಎಸ್‌ಟಿ),string
Kokrajhar West (ST),ಕೊಕ್ರಜಾರ್ ಪಶ್ಚಿಮ (ಎಸ್‌ಟಿ),string
Kolathur,ಕೊಳತ್ತೂರು,string
Kolkata,ಕೋಲ್ಕತ್ತಾ,string
Kolkata Port,ಕೋಲ್ಕತ್ತಾ ಬಂದರು,string
Kollam,ಕೊಲ್ಲಂ,string
Kondotty,ಕೊಂಡೊಟ್ಟಿ,string
Kongad,ಕೊಂಗಾಡ್,string
Konni,ಕೊನ್ನಿ,string
Kothamangalam,ಕೋತಮಂಗಲಂ,string
Kothandapani. M,ಕೋತಂಡಪಾಣಿ. ಎಂ,string
Kottakkal,ಕೊಟ್ಟಕ್ಕಲ್,string
Kottarakkara,ಕೊಟ್ಟಾರಕ್ಕರ,string
Kottayam,ಕೊಟ್ಟಾಯಂ,string
Kovalam,ಕೋವಲಂ,string
Kovilpatti,ಕೋವಿಲ್ಪಟ್ಟಿ,string
Kovoor Kunjumon,ಕೋವೂರ್ ಕುಂಜುಮೋನ್,string
Koyilandy,ಕೊಯಿಲಾಂಡಿ,string
Kozhikode,ಕೋಝಿಕ್ಕೋಡ್,string
Kozhikode North,ಕೋಝಿಕ್ಕೋಡ್ ಉತ್ತರ,string
Kozhikode South,ಕೋಝಿಕ್ಕೋಡ್ ದಕ್ಷಿಣ,string
Krishna Chandra Santra,ಕೃಷ್ಣ ಚಂದ್ರ ಸಂತ್ರ,string
Krishna Kalyani,ಕೃಷ್ಣ ಕಲ್ಯಾಣಿ,string
Krishna Kamal Tanti,ಕೃಷ್ಣ ಕಮಲ್ ತಂತಿ,string
Krishnaganj (SC),ಕೃಷ್ಣಗಂಜ್ (ಎಸ್‌ಸಿ),string
Krishnagiri,ಕೃಷ್ಣಗಿರಿ,string
Krishnanagar Dakshin,ಕೃಷ್ಣನಗರ ದಕ್ಷಿಣ,string
Krishnanagar Uttar,ಕೃಷ್ಣನಗರ ಉತ್ತರ,string
Krishnarayapuram (SC),ಕೃಷ್ಣರಾಯಪುರಂ (ಎಸ್‌ಸಿ),string
Krishnendu Paul,ಕೃಷ್ಣೇಂದು ಪಾಲ್,string
Kulithalai,ಕುಳಿತಲೈ,string
Kulpi,ಕುಲ್ಪಿ,string
Kultali (SC),ಕುಲ್ತಾಲಿ (ಎಸ್‌ಸಿ),string
Kulti,ಕುಲ್ಟಿ,string
Kumaraguru. R.,ಕುಮಾರಗುರು. ಆರ್.,string
Kumarapalayam,ಕುಮಾರಪಾಳ್ಯಂ,string
